# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   4.9408902297e+00,   6.2346995272e-01,   1.1166646343e-02,   4.0226414530e+00,   9.1860000000e-01
   4.9659290812e+00,   7.2977665043e-01,   1.2081197378e-02,   3.8019058500e+00,   9.2340000000e-01
   4.9677347995e+00,   7.0234891785e-01,   1.1851994919e-02,   3.4066576740e+00,   9.2240000000e-01
   4.9525824619e+00,   5.9452592661e-01,   1.0904365425e-02,   3.7334372670e+00,   9.2760000000e-01
   4.9179502572e+00,   5.6858959781e-01,   1.0663860444e-02,   3.4460350660e+00,   9.2380000000e-01
   4.9304928902e+00,   5.7486176584e-01,   1.0722516177e-02,   3.3745235460e+00,   9.2700000000e-01
   4.8969394073e+00,   5.7652282092e-01,   1.0737996284e-02,   3.2645573550e+00,   9.3000000000e-01
   4.8858113503e+00,   3.8964750881e-01,   8.8277687872e-03,   3.3648907300e+00,   9.3300000000e-01
   4.8996543078e+00,   4.8083650754e-01,   9.8064928240e-03,   3.1925879410e+00,   9.2800000000e-01
   4.8966162121e+00,   3.6645359228e-01,   8.5609998514e-03,   3.9615558070e+00,   9.2940000000e-01
   4.8681026798e+00,   4.0375601757e-01,   8.9861673429e-03,   3.5549342550e+00,   9.3200000000e-01
   4.8751490130e+00,   3.2687489037e-01,   8.0854794585e-03,   3.6592193130e+00,   9.2920000000e-01
   4.8645057068e+00,   3.7095887085e-01,   8.6134647018e-03,   3.9433103160e+00,   9.3780000000e-01
   4.9275931521e+00,   4.1734396494e-01,   9.1361257099e-03,   3.4001717170e+00,   9.3200000000e-01
   4.8825539203e+00,   4.2575304190e-01,   9.2277087286e-03,   3.5358245350e+00,   9.3400000000e-01
   4.8870631126e+00,   3.3660556606e-01,   8.2049444369e-03,   4.2847790770e+00,   9.3460000000e-01
   4.8980923090e+00,   4.4900392077e-01,   9.4763275668e-03,   4.0114936960e+00,   9.3000000000e-01
   4.8824336663e+00,   5.8040535959e-01,   1.0774092626e-02,   3.6455463760e+00,   9.3500000000e-01
   4.8477895524e+00,   3.4124206351e-01,   8.2612597528e-03,   3.4537599180e+00,   9.3620000000e-01
   4.8905008978e+00,   3.9842196646e-01,   8.9266115235e-03,   3.6228432540e+00,   9.3580000000e-01
   4.8732359225e+00,   4.1360890723e-01,   9.0951515350e-03,   3.7518440460e+00,   9.3000000000e-01
   4.9498900105e+00,   7.8961797419e-01,   1.2566765488e-02,   3.5266800330e+00,   9.2840000000e-01
   4.8764035847e+00,   3.0621882152e-01,   7.8258395271e-03,   3.5149471740e+00,   9.2480000000e-01
   4.9074349138e+00,   3.5464716189e-01,   8.4219613142e-03,   4.4133568290e+00,   9.2380000000e-01
   4.9118927293e+00,   4.2930037765e-01,   9.2660712025e-03,   4.1313783380e+00,   9.2960000000e-01
   4.8765778517e+00,   2.9687937463e-01,   7.7055742762e-03,   3.8379554890e+00,   9.2700000000e-01
   4.8809548561e+00,   4.1033339083e-01,   9.0590660758e-03,   2.8103556730e+00,   9.2980000000e-01
   4.8843758816e+00,   2.5987900231e-01,   7.2094244197e-03,   2.6922263030e+00,   9.2580000000e-01
   4.8662509403e+00,   2.8407812130e-01,   7.5376139633e-03,   2.5611193800e+00,   9.2700000000e-01
   4.8684017261e+00,   2.7071586738e-01,   7.3582045008e-03,   3.3647843600e+00,   9.2480000000e-01
   4.8648632956e+00,   2.5518006434e-01,   7.1439493887e-03,   3.3416329550e+00,   9.3660000000e-01
   4.9005902301e+00,   3.5240661244e-01,   8.3953155085e-03,   3.0106761540e+00,   9.3500000000e-01
